Location,Scheduled Hours,Labor Hrs,SPLH,$,% of Sales,Budget,BvA,Week
NorCal 1,"1,783 ","1,722 ",76.7 ,"35,110 ",26.6%,"36,071 ",961 ,2
NorCal 2,"2,279 ","2,154 ",87.0 ,"47,414 ",25.3%,"48,271 ",857 ,2
NorCal 3,"2,234 ","2,115 ",88.1 ,"46,410 ",24.9%,"51,201 ","4,791 ",2
NorCal 4,"2,209 ","2,226 ",78.5 ,"49,527 ",28.3%,"53,426 ","3,899 ",2
NorCal 5,"1,529 ","1,477 ",70.6 ,"33,468 ",32.1%,"34,799 ","1,331 ",2
SoCal 1,"2,121 ","1,924 ",82.2 ,"43,253 ",27.4%,"47,350 ","4,097 ",2
SoCal 3,"2,029 ","2,081 ",89.6 ,"46,048 ",24.7%,"44,536 ","(1,512)",2
SoCal 4,"2,713 ","2,631 ",80.2 ,"60,078 ",28.5%,"60,184 ",106 ,2
Arizona 1,"2,408 ","2,323 ",68.2 ,"41,433 ",26.2%,"45,632 ","4,199 ",2
Texas,"1,364 ","1,277 ",72.9 ,"22,617 ",24.3%,"24,275 ","1,658 ",2
Total,"20,669 ","19,927 ",79.9 ,"425,358 ",26.7%,"445,746 ","20,388 ",2
NorCal 1,"1,822 ","1,790 ",82.5 ,"36,408 ",24.7%,"36,071 ",(338),3
NorCal 2,"2,292 ","2,204 ",84.1 ,"48,281 ",26.1%,"48,271 ",(10),3
NorCal 3,"2,255 ","2,160 ",88.6 ,"47,257 ",24.7%,"51,201 ","3,944 ",3
NorCal 4,"2,296 ","2,290 ",80.7 ,"51,290 ",27.7%,"53,426 ","2,136 ",3
NorCal 5,"1,562 ","1,461 ",69.5 ,"33,151 ",32.7%,"34,799 ","1,648 ",3
SoCal 1,"2,065 ","2,123 ",83.2 ,"47,833 ",27.1%,"47,350 ",(483),3
SoCal 3,"2,028 ","2,109 ",92.0 ,"46,756 ",24.1%,"44,536 ","(2,220)",3
SoCal 4,"2,625 ","2,588 ",78.6 ,"59,349 ",29.2%,"60,184 ",835 ,3
Arizona 1,"2,387 ","2,344 ",75.8 ,"41,615 ",23.4%,"45,632 ","4,017 ",3
Texas,"1,353 ","1,347 ",82.7 ,"23,793 ",21.4%,"24,275 ",482 ,3
Total,"20,684 ","20,416 ",82.0 ,"435,733 ",26.0%,"445,746 ","10,013 ",3
NorCal 1,"1,815 ","1,795 ",81.0 ,"36,589 ",25.2%,"37,592 ","1,003 ",4
NorCal 2,"2,285 ","2,155 ",87.5 ,"46,870 ",24.9%,"47,949 ","1,079 ",4
NorCal 3,"2,328 ","2,149 ",88.1 ,"47,206 ",24.9%,"53,122 ","5,916 ",4
NorCal 4,"2,333 ","2,294 ",83.7 ,"51,439 ",26.8%,"55,444 ","4,005 ",4
NorCal 5,"1,503 ","1,395 ",73.7 ,"31,815 ",31.0%,"32,070 ",255 ,4
SoCal 1,"2,080 ","2,122 ",85.5 ,"47,692 ",26.3%,"46,494 ","(1,198)",4
SoCal 3,"2,123 ","2,166 ",84.1 ,"47,580 ",26.1%,"46,350 ","(1,230)",4
SoCal 4,"2,671 ","2,622 ",82.1 ,"59,876 ",27.8%,"57,457 ","(2,420)",4
Arizona 1,"2,387 ","2,328 ",69.0 ,"41,091 ",25.6%,"43,393 ","2,302 ",4
Texas,"1,325 ","1,190 ",76.7 ,"21,191 ",23.2%,"22,770 ","1,579 ",4
Total,"20,850 ","20,214 ",81.6 ,"431,349 ",26.2%,"442,640 ","11,291 ",4
NorCal 1,"1,825 ","1,771 ",83.1 ,"35,854 ",24.4%,"38,867 ","3,013 ",6
NorCal 2,"2,274 ","2,260 ",87.6 ,"49,141 ",24.8%,"48,867 ",(274),6
NorCal 3,"2,455 ","2,226 ",82.7 ,"48,845 ",26.5%,"54,218 ","5,373 ",6
NorCal 4,"2,280 ","2,263 ",80.4 ,"50,791 ",27.9%,"56,775 ","5,984 ",6
NorCal 5,"1,445 ","1,360 ",74.5 ,"31,096 ",30.7%,"31,446 ",350 ,6
SoCal 1,"2,094 ","2,069 ",83.6 ,"46,585 ",26.9%,"47,038 ",453 ,6
