Location,Sales,Forecast,Difference,Budget,Variance,Week
NorCal 1,"132,081 ","125,450 ","6,631 ","145,825 ",-9.4%,2 
NorCal 2,"187,460 ","173,362 ","14,099 ","195,997 ",-4.4%,2 
NorCal 3,"186,297 ","178,600 ","7,697 ","206,588 ",-9.8%,2 
NorCal 4,"174,771 ","161,700 ","13,071 ","210,410 ",-16.9%,2 
NorCal 5,"104,258 ","103,380 ",878 ,"112,682 ",-7.5%,2 
SoCal 1,"158,113 ","162,450 ","(4,337)","177,905 ",-11.1%,2 
SoCal 3,"186,404 ","167,100 ","19,304 ","179,880 ",3.6%,2 
SoCal 4,"210,917 ","222,400 ","(11,483)","228,744 ",-7.8%,2 
Arizona 1,"158,317 ","136,200 ","22,117 ","174,609 ",-9.3%,2 
Texas,"93,034 ","103,900 ","(10,866)","96,517 ",-3.6%,2 
Total,"1,591,652 ","1,534,542 ","57,110 ","1,729,156 ",-8.0%,2 
NorCal 1,"147,635 ","140,250 ","7,385 ","145,825 ",1.2%,3 
NorCal 2,"185,296 ","174,300 ","10,996 ","195,997 ",-5.5%,3 
NorCal 3,"191,311 ","179,250 ","12,061 ","206,588 ",-7.4%,3 
NorCal 4,"184,852 ","171,400 ","13,452 ","210,410 ",-12.1%,3 
NorCal 5,"101,527 ","100,800 ",727 ,"112,682 ",-9.9%,3 
SoCal 1,"176,708 ","163,250 ","13,458 ","177,905 ",-0.7%,3 
SoCal 3,"194,078 ","177,300 ","16,778 ","179,880 ",7.9%,3 
SoCal 4,"203,295 ","222,800 ","(19,505)","228,744 ",-11.1%,3 
Arizona 1,"177,738 ","163,700 ","14,038 ","174,609 ",1.8%,3 
Texas,"111,356 ","104,300 ","7,056 ","96,517 ",15.4%,3 
Total,"1,673,795 ","1,597,350 ","76,444 ","1,729,156 ",-3.2%,3 
NorCal 1,"145,349 ","132,600 ","12,749 ","141,301 ",2.9%,4 
NorCal 2,"188,449 ","180,400 ","8,049 ","183,206 ",2.9%,4 
NorCal 3,"189,378 ","181,200 ","8,178 ","204,459 ",-7.4%,4 
NorCal 4,"191,987 ","173,100 ","18,887 ","202,745 ",-5.3%,4 
NorCal 5,"102,777 ","103,300 ",(523),"103,078 ",-0.3%,4 
SoCal 1,"181,498 ","164,600 ","16,898 ","169,203 ",7.3%,4 
SoCal 3,"182,113 ","170,800 ","11,313 ","176,454 ",3.2%,4 
SoCal 4,"215,329 ","215,800 ",(471),"217,608 ",-1.0%,4 
Arizona 1,"160,681 ","157,600 ","3,081 ","173,110 ",-7.2%,4 
Texas,"91,269 ","103,300 ","(12,031)","95,552 ",-4.5%,4 
Total,"1,648,829 ","1,582,700 ","66,129 ","1,666,714 ",-1.1%,4 
NorCal 1,"147,233 ","138,000 ","9,233 ","152,742 ",-3.6%,6 
NorCal 2,"197,950 ","173,800 ","24,150 ","191,836 ",3.2%,6 
NorCal 3,"183,989 ","177,350 ","6,639 ","215,386 ",-14.6%,6 
NorCal 4,"182,046 ","173,100 ","8,946 ","211,791 ",-14.0%,6 
NorCal 5,"101,303 ","95,000 ","6,303 ","106,944 ",-5.3%,6 
SoCal 1,"173,008 ","165,900 ","7,108 ","172,250 ",0.4%,6 
SoCal 3,"184,222 ","170,600 ","13,622 ","179,486 ",2.6%,6 
SoCal 4,"206,983 ","212,300 ","(5,317)","222,224 ",-6.9%,6 
