Location,Tier,Total Enrollees,Total Registered,DOE,DOB,Fiscal Year,Week,Period,Quarter,Area
Long Beach,Friend Zone,26,26,3/16/25,3/16/25,2025,11,3,1,SoCal 4
Long Beach,Friend Zone,26,26,3/23/25,3/23/25,2025,12,3,1,SoCal 4
Long Beach,Ike's Inner Circle,1,1,3/23/25,3/23/25,2025,12,3,1,SoCal 4
Long Beach,Friend Zone,41,41,3/30/25,3/30/25,2025,13,4,2,SoCal 4
Long Beach,Friend Zone,36,36,4/6/25,4/6/25,2025,14,4,2,SoCal 4
Long Beach,Friend Zone,27,27,4/13/25,4/13/25,2025,15,4,2,SoCal 4
Long Beach,Ike's Inner Circle,3,3,4/13/25,4/13/25,2025,15,4,2,SoCal 4
Long Beach,Friend Zone,31,31,1/19/25,1/19/25,2025,3,1,1,SoCal 4
Long Beach,Gift Card,1,0,1/19/25,1/19/25,2025,3,1,1,SoCal 4
Long Beach,Friend Zone,30,30,1/5/25,1/5/25,2025,1,1,1,SoCal 4
Long Beach,Unregistered Loyalty,2,2,1/5/25,1/5/25,2025,1,1,1,SoCal 4
Long Beach,Friend Zone,24,24,1/12/25,1/12/25,2025,2,1,1,SoCal 4
Long Beach,Friend Zone,23,23,1/26/25,1/26/25,2025,4,1,1,SoCal 4
Long Beach,Gift Card,1,0,1/26/25,1/26/25,2025,4,1,1,SoCal 4
Long Beach,Friend Zone,29,29,2/2/25,2/2/25,2025,5,2,1,SoCal 4
Long Beach,Gift Card,2,0,2/2/25,2/2/25,2025,5,2,1,SoCal 4
Long Beach,Ike's Inner Circle,2,2,2/2/25,2/2/25,2025,5,2,1,SoCal 4
Long Beach,Friend Zone,25,25,2/9/25,2/9/25,2025,6,2,1,SoCal 4
Long Beach,Gift Card,1,0,2/9/25,2/9/25,2025,6,2,1,SoCal 4
Long Beach,Ike's Inner Circle,1,1,2/9/25,2/9/25,2025,6,2,1,SoCal 4
Long Beach,Friend Zone,30,30,2/16/25,2/16/25,2025,7,2,1,SoCal 4
Long Beach,Gift Card,3,0,2/16/25,2/16/25,2025,7,2,1,SoCal 4
Long Beach,Friend Zone,40,40,2/23/25,2/23/25,2025,8,2,1,SoCal 4
Long Beach,Friend Zone,26,26,3/2/25,3/2/25,2025,9,3,1,SoCal 4
Long Beach,Fraud,1,1,3/9/25,3/9/25,2025,10,3,1,SoCal 4
Long Beach,Friend Zone,29,29,3/9/25,3/9/25,2025,10,3,1,SoCal 4
