Location,End Date,Fiscal Year,Week,Period,Item,Category,Sub Category,Group with,Counts,Quantity (#),Discount ($),Total ($),Order Type,Number,Area
Long Beach,3/9/25,2025,10,3,34. HUNTER PENCE,MEAT SANDWICHES,SANDWICH,MEAT SANDWICHES,1,50,33.9,888.4,Dine In,50,SoCal 4
Long Beach,3/9/25,2025,10,3,18. MATT CAIN,MEAT SANDWICHES,SANDWICH,MEAT SANDWICHES,1,52,0,808.45,Dine In,52,SoCal 4
Long Beach,3/9/25,2025,10,3,111. MENAGE A TROIS,MEAT SANDWICHES,SANDWICH,MEAT SANDWICHES,1,50,0,741.45,Dine In,50,SoCal 4
Long Beach,3/9/25,2025,10,3,118. DA VINCI,MEAT SANDWICHES,SANDWICH,MEAT SANDWICHES,1,37,0,596.5,Dine In,37,SoCal 4
Long Beach,3/9/25,2025,10,3,240. MADISON BUMGARNER,MEAT SANDWICHES,SANDWICH,MEAT SANDWICHES,1,33,0,572.8,Dine In,33,SoCal 4
Long Beach,3/9/25,2025,10,3,91. PAUL REUBEN,MEAT SANDWICHES,SANDWICH,MEAT SANDWICHES,1,33,0,558.3,Dine In,33,SoCal 4
Long Beach,3/9/25,2025,10,3,98. JAYMEE SIREWICH,MEAT SANDWICHES,SANDWICH,MEAT SANDWICHES,1,29,0,413,Dine In,29,SoCal 4
Long Beach,3/9/25,2025,10,3,957. THE DAMON BRUCE,MEAT SANDWICHES,SANDWICH,MEAT SANDWICHES,1,21,33.9,377.45,Dine In,21,SoCal 4
Long Beach,3/9/25,2025,10,3,2. HOLLYWOULD'S SF CHEESESTEAK,MEAT SANDWICHES,SANDWICH,MEAT SANDWICHES,1,23,0,363.5,Dine In,23,SoCal 4
Long Beach,3/9/25,2025,10,3,422. BEAST MODE,MEAT SANDWICHES,SANDWICH,MEAT SANDWICHES,1,17,0,312.1,Dine In,17,SoCal 4
Long Beach,3/9/25,2025,10,3,190. KELLY KAPOWSKI,MEAT SANDWICHES,SANDWICH,MEAT SANDWICHES,1,18,0,275.5,Dine In,18,SoCal 4
Long Beach,3/9/25,2025,10,3,201. ADAM RICHMAN,MEAT SANDWICHES,SANDWICH,MEAT SANDWICHES,1,15,0,254.25,Phone Order,15,SoCal 4
Long Beach,3/9/25,2025,10,3,65. JIM ROME,MEAT SANDWICHES,SANDWICH,MEAT SANDWICHES,1,16,0,244,Dine In,16,SoCal 4
Long Beach,3/9/25,2025,10,3,345. STEPHEN HAWKING,MEAT SANDWICHES,SANDWICH,MEAT SANDWICHES,1,15,0,241.95,Dine In,15,SoCal 4
Long Beach,3/9/25,2025,10,3,68. CHASE OTTNEY IS HELLA SEXY,MEAT SANDWICHES,SANDWICH,MEAT SANDWICHES,1,17,0,234.1,Dine In,17,SoCal 4
Long Beach,3/9/25,2025,10,3,118. DA VINCI,MEAT SANDWICHES,SANDWICH,MEAT SANDWICHES,1,16,0,232,Phone Order,16,SoCal 4
Long Beach,3/9/25,2025,10,3,34. HUNTER PENCE,MEAT SANDWICHES,SANDWICH,MEAT SANDWICHES,1,12,0,230.6,Take Out,12,SoCal 4
Long Beach,3/9/25,2025,10,3,111. MENAGE A TROIS,MEAT SANDWICHES,SANDWICH,MEAT SANDWICHES,1,15,0,223.45,Dine In,15,SoCal 4
Long Beach,3/9/25,2025,10,3,111. MENAGE A TROIS,MEAT SANDWICHES,SANDWICH,MEAT SANDWICHES,1,12,0,219.4,Take Out,12,SoCal 4
Long Beach,3/9/25,2025,10,3,201. ADAM RICHMAN,MEAT SANDWICHES,SANDWICH,MEAT SANDWICHES,1,12,0,215.35,Dine In,12,SoCal 4
Long Beach,3/9/25,2025,10,3,111. MENAGE A TROIS,MEAT SANDWICHES,SANDWICH,MEAT SANDWICHES,1,12,0,211.65,Take Out,12,SoCal 4
Long Beach,3/9/25,2025,10,3,70. MEATLESS MIKE,VEGGIE SANDWICHES,SANDWICH,VEGGIE SANDWICHES,1,13,0,195.45,Dine In,13,SoCal 4
Long Beach,3/9/25,2025,10,3,111. MENAGE A TROIS,MEAT SANDWICHES,SANDWICH,MEAT SANDWICHES,1,10,0,193.3,Take Out,10,SoCal 4
Long Beach,3/9/25,2025,10,3,34. HUNTER PENCE,MEAT SANDWICHES,SANDWICH,MEAT SANDWICHES,1,10,0,192.85,Take Out,10,SoCal 4
Long Beach,3/9/25,2025,10,3,929. HALSEY,MEAT SANDWICHES,SANDWICH,MEAT SANDWICHES,1,12,14.5,191.95,Dine In,12,SoCal 4
Long Beach,3/9/25,2025,10,3,61. SOMETIMES I'M A VEGETARIAN,VEGGIE SANDWICHES,SANDWICH,VEGGIE SANDWICHES,1,12,0,173.5,Dine In,12,SoCal 4
