Location,Type,DOB,DOW,Cal Year,Fiscal Year,Week,Period,Quarter,Hours,Labor $,Hour %,SalaryCost,SalaryPercent,Total Payroll,Sales,Area
Carson,Actual,1/15/24,Monday,2024,2024,3,1,1,34.79,694,25.03,0,0,694,2771.4,SoCal 4
Carson,Scheduled,1/15/24,Monday,2024,2024,3,1,1,34.5,685.48,22.85,0,0,685.48,3000,SoCal 4
Carson,Year Ago,1/15/24,Monday,2024,2024,3,1,1,40.27,821,31.69,0,0,821,2590.04,SoCal 4
Costa Mesa,Actual,1/15/24,Monday,2024,2024,3,1,1,22.13,450,26.86,0,0,450,1674.37,SoCal 4
Costa Mesa,Scheduled,1/15/24,Monday,2024,2024,3,1,1,28,537.31,31.61,0,0,537.31,1700,SoCal 4
Costa Mesa,Year Ago,1/15/24,Monday,2024,2024,3,1,1,25.77,461,25.21,0,0,461,1828.29,SoCal 4
El Segundo,Actual,1/15/24,Monday,2024,2024,3,1,1,29.97,682,37.21,0,0,682,1832.26,SoCal 4
El Segundo,Scheduled,1/15/24,Monday,2024,2024,3,1,1,29.5,672.58,22.42,0,0,672.58,3000,SoCal 4
El Segundo,Year Ago,1/15/24,Monday,2024,2024,3,1,1,36.76,682,26.67,0,0,682,2555.54,SoCal 4
Fountain Valley,Actual,1/15/24,Monday,2024,2024,3,1,1,28.74,539,29.4,0,0,539,1834.73,SoCal 4
Fountain Valley,Scheduled,1/15/24,Monday,2024,2024,3,1,1,30,581,29.05,0,0,581,2000,SoCal 4
Fountain Valley,Year Ago,1/15/24,Monday,2024,2024,3,1,1,36.34,669,23.04,0,0,669,2975.92,SoCal 4
Five Points,Actual,1/15/24,Monday,2024,2024,3,1,1,29.08,545,29.48,0,0,545,1848.49,SoCal 4
Five Points,Scheduled,1/15/24,Monday,2024,2024,3,1,1,30.5,572.69,33.69,0,0,572.69,1700,SoCal 4
Five Points,Year Ago,1/15/24,Monday,2024,2024,3,1,1,0,0,0,0,0,0,0,SoCal 4
LBX,Actual,1/15/24,Monday,2024,2024,3,1,1,35.29,673,18.77,0,0,673,3584.48,SoCal 4
LBX,Scheduled,1/15/24,Monday,2024,2024,3,1,1,35,671.65,22.39,0,0,671.65,3000,SoCal 4
LBX,Year Ago,1/15/24,Monday,2024,2024,3,1,1,0,0,0,0,0,0,0,SoCal 4
Long Beach,Actual,1/15/24,Monday,2024,2024,3,1,1,39.45,784,25.51,0,0,784,3072.59,SoCal 4
Long Beach,Scheduled,1/15/24,Monday,2024,2024,3,1,1,41.5,829.58,24.4,0,0,829.58,3400,SoCal 4
Long Beach,Year Ago,1/15/24,Monday,2024,2024,3,1,1,42.23,848,27.77,0,0,848,3052.4,SoCal 4
Manhattan Beach,Actual,1/15/24,Monday,2024,2024,3,1,1,36.84,745,22.86,0,0,745,3371.38,SoCal 4
Manhattan Beach,Scheduled,1/15/24,Monday,2024,2024,3,1,1,40.5,723.1,22.6,0,0,723.1,3200,SoCal 4
Manhattan Beach,Year Ago,1/15/24,Monday,2024,2024,3,1,1,46.71,960,30.36,0,0,960,3214.28,SoCal 4
Marina Del Rey,Actual,1/15/24,Monday,2024,2024,3,1,1,30.72,635,24.29,0,0,635,2613.96,SoCal 4
Marina Del Rey,Scheduled,1/15/24,Monday,2024,2024,3,1,1,29.5,605.95,27.54,0,0,605.95,2200,SoCal 4
Marina Del Rey,Year Ago,1/15/24,Monday,2024,2024,3,1,1,26.55,599,28.08,0,0,599,2131.63,SoCal 4
Newport Beach,Actual,1/15/24,Monday,2024,2024,3,1,1,26.93,462,22.08,183,9,645,2091.43,SoCal 4
Newport Beach,Scheduled,1/15/24,Monday,2024,2024,3,1,1,30.75,587.5,29.38,0,0,587.5,2000,SoCal 4
Newport Beach,Year Ago,1/15/24,Monday,2024,2024,3,1,1,31.61,586,32.65,177,9,763,1872.65,SoCal 4
Tustin,Actual,1/15/24,Monday,2024,2024,3,1,1,30.32,551,19.71,0,0,551,2878.13,SoCal 4
Tustin,Scheduled,1/15/24,Monday,2024,2024,3,1,1,29.5,554,21.31,0,0,554,2600,SoCal 4
Tustin,Year Ago,1/15/24,Monday,2024,2024,3,1,1,38.1,675,21.32,0,0,675,3166.1,SoCal 4
Westminster,Actual,1/15/24,Monday,2024,2024,3,1,1,26.39,480,30.24,0,0,480,1587.97,SoCal 4
Westminster,Scheduled,1/15/24,Monday,2024,2024,3,1,1,27.5,501.63,38.59,0,0,501.63,1300,SoCal 4
Westminster,Year Ago,1/15/24,Monday,2024,2024,3,1,1,0,0,0,0,0,0,0,SoCal 4
Carson,Actual,1/16/24,Tuesday,2024,2024,3,1,1,32.25,651,22.6,0,0,651,2880.94,SoCal 4
Carson,Scheduled,1/16/24,Tuesday,2024,2024,3,1,1,33,666.05,22.2,0,0,666.05,3000,SoCal 4
Carson,Year Ago,1/16/24,Tuesday,2024,2024,3,1,1,40.95,736,29.95,0,0,736,2459.28,SoCal 4
Costa Mesa,Actual,1/16/24,Tuesday,2024,2024,3,1,1,23.22,389,26.87,0,0,389,1447.6,SoCal 4
Costa Mesa,Scheduled,1/16/24,Tuesday,2024,2024,3,1,1,36.25,664.81,51.14,0,0,664.81,1300,SoCal 4
Costa Mesa,Year Ago,1/16/24,Tuesday,2024,2024,3,1,1,26.37,470,36.56,0,0,470,1284.99,SoCal 4
El Segundo,Actual,1/16/24,Tuesday,2024,2024,3,1,1,37.13,742,33.05,0,0,742,2243.6,SoCal 4
El Segundo,Scheduled,1/16/24,Tuesday,2024,2024,3,1,1,33.5,679.65,22.66,0,0,679.65,3000,SoCal 4
El Segundo,Year Ago,1/16/24,Tuesday,2024,2024,3,1,1,39.55,780,26.58,0,0,780,2933.9,SoCal 4
Fountain Valley,Actual,1/16/24,Tuesday,2024,2024,3,1,1,27.46,520,26.39,0,0,520,1969.52,SoCal 4
Fountain Valley,Scheduled,1/16/24,Tuesday,2024,2024,3,1,1,33.5,617,26.83,0,0,617,2300,SoCal 4
Fountain Valley,Year Ago,1/16/24,Tuesday,2024,2024,3,1,1,32.92,574,23.36,0,0,574,2456.37,SoCal 4
Five Points,Actual,1/16/24,Tuesday,2024,2024,3,1,1,28.63,517,44,0,0,517,1176.04,SoCal 4
Five Points,Scheduled,1/16/24,Tuesday,2024,2024,3,1,1,30,545.44,36.36,0,0,545.44,1500,SoCal 4
Five Points,Year Ago,1/16/24,Tuesday,2024,2024,3,1,1,0,0,0,0,0,0,0,SoCal 4
LBX,Actual,1/16/24,Tuesday,2024,2024,3,1,1,33.1,658,24.74,0,0,658,2657.96,SoCal 4
LBX,Scheduled,1/16/24,Tuesday,2024,2024,3,1,1,34.5,663.25,18.95,0,0,663.25,3500,SoCal 4
LBX,Year Ago,1/16/24,Tuesday,2024,2024,3,1,1,0,0,0,0,0,0,0,SoCal 4
Long Beach,Actual,1/16/24,Tuesday,2024,2024,3,1,1,39.9,694,26.35,0,0,694,2635.61,SoCal 4
Long Beach,Scheduled,1/16/24,Tuesday,2024,2024,3,1,1,35,613.68,18.05,0,0,613.68,3400,SoCal 4
Long Beach,Year Ago,1/16/24,Tuesday,2024,2024,3,1,1,38.35,699,25.06,0,0,699,2788.39,SoCal 4
Manhattan Beach,Actual,1/16/24,Tuesday,2024,2024,3,1,1,38.82,772,32.05,0,0,772,2408.63,SoCal 4
Manhattan Beach,Scheduled,1/16/24,Tuesday,2024,2024,3,1,1,41,742.6,23.21,0,0,742.6,3200,SoCal 4
Manhattan Beach,Year Ago,1/16/24,Tuesday,2024,2024,3,1,1,52.47,1045,33.94,0,0,1045,3128.86,SoCal 4
Marina Del Rey,Actual,1/16/24,Tuesday,2024,2024,3,1,1,32.69,672,36.19,0,0,672,1857.53,SoCal 4
Marina Del Rey,Scheduled,1/16/24,Tuesday,2024,2024,3,1,1,32.5,684.97,29.78,0,0,684.97,2300,SoCal 4
Marina Del Rey,Year Ago,1/16/24,Tuesday,2024,2024,3,1,1,27.47,530,28.39,0,0,530,1866.79,SoCal 4
Newport Beach,Actual,1/16/24,Tuesday,2024,2024,3,1,1,29.55,495,19.03,183,7,678,2603.57,SoCal 4
Newport Beach,Scheduled,1/16/24,Tuesday,2024,2024,3,1,1,32,535.5,17.85,0,0,535.5,3000,SoCal 4
Newport Beach,Year Ago,1/16/24,Tuesday,2024,2024,3,1,1,30.47,532,19.57,177,6,709,2805.49,SoCal 4
Tustin,Actual,1/16/24,Tuesday,2024,2024,3,1,1,29,543,23.53,0,0,543,2306.71,SoCal 4
Tustin,Scheduled,1/16/24,Tuesday,2024,2024,3,1,1,30,560.5,22.42,0,0,560.5,2500,SoCal 4
Tustin,Year Ago,1/16/24,Tuesday,2024,2024,3,1,1,32.19,529,21.42,0,0,529,2469.28,SoCal 4
Westminster,Actual,1/16/24,Tuesday,2024,2024,3,1,1,26.38,504,38.25,0,0,504,1317.39,SoCal 4
Westminster,Scheduled,1/16/24,Tuesday,2024,2024,3,1,1,28.5,485.31,32.35,0,0,485.31,1500,SoCal 4
Westminster,Year Ago,1/16/24,Tuesday,2024,2024,3,1,1,0,0,0,0,0,0,0,SoCal 4
Carson,Actual,1/17/24,Wednesday,2024,2024,3,1,1,35.86,713,21.05,0,0,713,3388.14,SoCal 4
Carson,Scheduled,1/17/24,Wednesday,2024,2024,3,1,1,35,694.8,21.71,0,0,694.8,3200,SoCal 4
Carson,Year Ago,1/17/24,Wednesday,2024,2024,3,1,1,37.38,773,37.11,0,0,773,2127.95,SoCal 4
Costa Mesa,Actual,1/17/24,Wednesday,2024,2024,3,1,1,26.98,507,38.92,0,0,507,1344.78,SoCal 4
Costa Mesa,Scheduled,1/17/24,Wednesday,2024,2024,3,1,1,28.5,539,35.93,0,0,539,1500,SoCal 4
Costa Mesa,Year Ago,1/17/24,Wednesday,2024,2024,3,1,1,30.54,528,33.08,0,0,528,1596.85,SoCal 4
El Segundo,Actual,1/17/24,Wednesday,2024,2024,3,1,1,34.31,706,17.85,0,0,706,3955.3,SoCal 4
El Segundo,Scheduled,1/17/24,Wednesday,2024,2024,3,1,1,34.5,703.08,21.97,0,0,703.08,3200,SoCal 4
El Segundo,Year Ago,1/17/24,Wednesday,2024,2024,3,1,1,36.17,657,25.28,0,0,657,2600.29,SoCal 4
Fountain Valley,Actual,1/17/24,Wednesday,2024,2024,3,1,1,30.72,552,30.71,0,0,552,1797.73,SoCal 4
Fountain Valley,Scheduled,1/17/24,Wednesday,2024,2024,3,1,1,33.5,617,36.29,0,0,617,1700,SoCal 4
Fountain Valley,Year Ago,1/17/24,Wednesday,2024,2024,3,1,1,39.81,701,24.77,0,0,701,2827.82,SoCal 4
Five Points,Actual,1/17/24,Wednesday,2024,2024,3,1,1,32.52,597,45.28,0,0,597,1318.8,SoCal 4
Five Points,Scheduled,1/17/24,Wednesday,2024,2024,3,1,1,35.75,663.44,41.46,0,0,663.44,1600,SoCal 4
Five Points,Year Ago,1/17/24,Wednesday,2024,2024,3,1,1,0,0,0,0,0,0,0,SoCal 4
LBX,Actual,1/17/24,Wednesday,2024,2024,3,1,1,30.12,587,20.51,0,0,587,2861.43,SoCal 4
LBX,Scheduled,1/17/24,Wednesday,2024,2024,3,1,1,36,687.9,19.65,0,0,687.9,3500,SoCal 4
LBX,Year Ago,1/17/24,Wednesday,2024,2024,3,1,1,0,0,0,0,0,0,0,SoCal 4
Long Beach,Actual,1/17/24,Wednesday,2024,2024,3,1,1,35.48,624,18.27,0,0,624,3414.86,SoCal 4
Long Beach,Scheduled,1/17/24,Wednesday,2024,2024,3,1,1,40,698.68,19.41,0,0,698.68,3600,SoCal 4
Long Beach,Year Ago,1/17/24,Wednesday,2024,2024,3,1,1,40.18,731,25.77,0,0,731,2836.19,SoCal 4
Manhattan Beach,Actual,1/17/24,Wednesday,2024,2024,3,1,1,41.47,793,34.24,0,0,793,2317.19,SoCal 4
Manhattan Beach,Scheduled,1/17/24,Wednesday,2024,2024,3,1,1,37.5,726.98,20.77,0,0,726.98,3500,SoCal 4
Manhattan Beach,Year Ago,1/17/24,Wednesday,2024,2024,3,1,1,48.05,954,42.02,0,0,954,2269.64,SoCal 4
Marina Del Rey,Actual,1/17/24,Wednesday,2024,2024,3,1,1,27.97,589,26.55,0,0,589,2219.51,SoCal 4
Marina Del Rey,Scheduled,1/17/24,Wednesday,2024,2024,3,1,1,31,662.58,28.81,0,0,662.58,2300,SoCal 4
Marina Del Rey,Year Ago,1/17/24,Wednesday,2024,2024,3,1,1,29,546,27.4,0,0,546,1991.58,SoCal 4
Newport Beach,Actual,1/17/24,Wednesday,2024,2024,3,1,1,28.5,480,17.79,183,7,663,2699.07,SoCal 4
Newport Beach,Scheduled,1/17/24,Wednesday,2024,2024,3,1,1,32.5,587,25.52,0,0,587,2300,SoCal 4
Newport Beach,Year Ago,1/17/24,Wednesday,2024,2024,3,1,1,27.52,502,27.58,177,9,679,1967.19,SoCal 4
Tustin,Actual,1/17/24,Wednesday,2024,2024,3,1,1,32.55,600,20.77,0,0,600,2888.34,SoCal 4
Tustin,Scheduled,1/17/24,Wednesday,2024,2024,3,1,1,28,514.5,20.58,0,0,514.5,2500,SoCal 4
Tustin,Year Ago,1/17/24,Wednesday,2024,2024,3,1,1,34.35,630,19.48,0,0,630,3235.98,SoCal 4
Westminster,Actual,1/17/24,Wednesday,2024,2024,3,1,1,26.34,490,32.13,0,0,490,1523.62,SoCal 4
Westminster,Scheduled,1/17/24,Wednesday,2024,2024,3,1,1,29,457.75,30.52,0,0,457.75,1500,SoCal 4
Westminster,Year Ago,1/17/24,Wednesday,2024,2024,3,1,1,0,0,0,0,0,0,0,SoCal 4
Carson,Actual,1/18/24,Thursday,2024,2024,3,1,1,38.46,761,19.48,0,0,761,3905.18,SoCal 4
Carson,Scheduled,1/18/24,Thursday,2024,2024,3,1,1,34.5,696.85,21.78,0,0,696.85,3200,SoCal 4
Carson,Year Ago,1/18/24,Thursday,2024,2024,3,1,1,49.79,958,22.03,0,0,958,4425.02,SoCal 4
Costa Mesa,Actual,1/18/24,Thursday,2024,2024,3,1,1,24.12,502,36.56,0,0,502,1374.06,SoCal 4
Costa Mesa,Scheduled,1/18/24,Thursday,2024,2024,3,1,1,23.5,464.69,23.23,0,0,464.69,2000,SoCal 4
Costa Mesa,Year Ago,1/18/24,Thursday,2024,2024,3,1,1,28.01,517,29.6,0,0,517,1746.86,SoCal 4
