Location,Scheduled Hours,Labor Hrs,SPLH,$,% of Sales,Budget,BvA,Week
Carson,241 ,236 ,78.8,"5,216 ",28.0%,"5,503 ",287 ,2 
Culver City,326 ,291 ,83.8,"6,189 ",25.4%,"6,508 ",319 ,2 
El Segundo,218 ,212 ,83.9,"4,621 ",26.0%,"5,419 ",798 ,2 
Long Beach,267 ,254 ,88.0,"5,708 ",25.6%,"6,254 ",546 ,2 
Westminster,172 ,164 ,81.6,"3,840 ",28.7%,"3,778 ",(63),2 
Five Points,198 ,198 ,49.9,"4,481 ",45.4%,"3,781 ",(700),2 
Fountain Valley,195 ,183 ,74.0,"4,040 ",29.9%,"4,417 ",377 ,2 
Costa Mesa,178 ,178 ,77.1,"4,102 ",29.8%,"3,651 ",(451),2 
Newport Beach,208 ,206 ,93.8,"5,852 ",30.3%,"5,812 ",(40),2 
Manhattan Beach,231 ,212 ,91.2,"4,838 ",25.0%,"5,398 ",560 ,2 
Marina Del Rey,220 ,224 ,77.2,"5,125 ",29.6%,"4,441 ",(684),2 
LBX,262 ,273 ,78.0,"6,066 ",28.4%,"5,223 ",(844),2 
Total,"2,713 ","2,631 ",80.2,"60,078 ",28.5%,"60,184 ",106 ,2 
Carson,241 ,234 ,84.5,"5,181 ",26.1%,"5,503 ",322 ,3 
Culver City,284 ,277 ,78.4,"5,945 ",27.4%,"6,508 ",563 ,3 
El Segundo,221 ,218 ,86.8,"4,789 ",25.3%,"5,419 ",630 ,3 
Long Beach,267 ,263 ,90.2,"5,906 ",24.9%,"6,254 ",348 ,3 
Westminster,168 ,163 ,63.2,"3,879 ",37.6%,"3,778 ",(102),3 
Five Points,198 ,195 ,46.6,"4,459 ",49.1%,"3,781 ",(678),3 
Fountain Valley,189 ,190 ,71.3,"4,146 ",30.6%,"4,417 ",271 ,3 
Costa Mesa,175 ,180 ,76.0,"4,136 ",30.2%,"3,651 ",(485),3 
Newport Beach,195 ,202 ,101.3,"5,804 ",28.4%,"5,812 ",8 ,3 
Manhattan Beach,225 ,209 ,82.5,"4,792 ",27.9%,"5,398 ",606 ,3 
Marina Del Rey,211 ,202 ,73.1,"4,655 ",31.4%,"4,441 ",(214),3 
LBX,254 ,254 ,78.7,"5,657 ",28.3%,"5,223 ",(435),3 
Total,"2,625 ","2,588 ",78.6,"59,349 ",29.2%,"60,184 ",835 ,3 
Carson,289 ,279 ,87.2,"6,087 ",25.0%,"4,958 ","(1,129)",4 
Culver City,278 ,281 ,93.6,"6,009 ",22.9%,"5,478 ",(531),4 
El Segundo,221 ,222 ,79.6,"4,795 ",27.2%,"4,924 ",129 ,4 
Long Beach,264 ,256 ,93.4,"5,761 ",24.1%,"5,817 ",56 ,4 
Westminster,168 ,164 ,78.6,"3,883 ",30.1%,"3,502 ",(382),4 
Five Points,185 ,184 ,52.6,"4,215 ",43.5%,"4,112 ",(103),4 
Fountain Valley,190 ,177 ,76.8,"3,945 ",29.0%,"4,214 ",269 ,4 
Costa Mesa,178 ,175 ,60.6,"3,997 ",37.7%,"3,912 ",(85),4 
Newport Beach,206 ,208 ,92.8,"5,875 ",30.5%,"5,600 ",(275),4 
Manhattan Beach,224 ,206 ,91.8,"4,759 ",25.1%,"5,355 ",596 ,4 
Marina Del Rey,217 ,203 ,74.3,"4,577 ",30.4%,"4,329 ",(249),4 
LBX,253 ,268 ,86.3,"5,973 ",25.8%,"5,257 ",(716),4 
Total,"2,671 ","2,622 ",82.1,"59,876 ",27.8%,"57,457 ","(2,420)",4 
Carson,274 ,263 ,76.6,"5,733 ",28.4%,"5,494 ",(240),6 
Culver City,303 ,276 ,86.3,"5,912 ",24.8%,"5,855 ",(57),6 
El Segundo,223 ,229 ,74.7,"4,937 ",28.8%,"5,075 ",138 ,6 
Long Beach,267 ,253 ,92.5,"5,474 ",23.4%,"5,832 ",358 ,6 
Westminster,166 ,159 ,83.3,"3,788 ",28.7%,"3,450 ",(339),6 
Five Points,187 ,182 ,46.9,"4,123 ",48.4%,"4,077 ",(47),6 
Fountain Valley,187 ,190 ,75.4,"4,220 ",29.5%,"3,832 ",(388),6 
Costa Mesa,178 ,177 ,78.9,"4,126 ",29.5%,"4,113 ",(13),6 
Newport Beach,203 ,193 ,88.9,"5,446 ",31.8%,"5,515 ",69 ,6 
Manhattan Beach,225 ,207 ,89.3,"4,751 ",25.8%,"5,459 ",708 ,6 
Marina Del Rey,203 ,198 ,83.0,"4,491 ",27.3%,"4,451 ",(40),6 
LBX,254 ,257 ,79.1,"5,723 ",28.1%,"5,386 ",(337),6 
Total,"2,669 ","2,584 ",80.1,"58,724 ",28.4%,"58,536 ",(189),6 
Carson,263 ,257 ,93.8,"5,632 ",23.3%,"5,494 ",(139),8 
Culver City,282 ,268 ,93.9,"5,768 ",22.9%,"5,855 ",87 ,8 
El Segundo,229 ,234 ,74.4,"5,064 ",29.0%,"5,075 ",11 ,8 
Long Beach,265 ,275 ,109.9,"6,166 ",20.4%,"5,832 ",(335),8 
