Location,Sales,Forecast,Difference,Budget,Variance,Week 
Carson,"18,621 ","19,500 ",(879),"21,132 ",-11.9%,2 
Culver City,"24,367 ","27,600 ","(3,233)","29,533 ",-17.5%,2 
El Segundo,"17,782 ","19,000 ","(1,218)","20,509 ",-13.3%,2 
Long Beach,"22,327 ","23,900 ","(1,573)","24,985 ",-10.6%,2 
Westminster,"13,396 ","13,300 ",96 ,"12,919 ",3.7%,2 
Five Points,"9,868 ","12,000 ","(2,132)","13,406 ",-26.4%,2 
Fountain Valley,"13,532 ","17,000 ","(3,468)","17,063 ",-20.7%,2 
Costa Mesa,"13,754 ","12,900 ",854 ,"13,875 ",-0.9%,2 
Newport Beach,"19,299 ","19,100 ",199 ,"18,281 ",5.6%,2 
Manhattan Beach,"19,322 ","19,600 ",(278),"20,353 ",-5.1%,2 
Marina Del Rey,"17,321 ","16,000 ","1,321 ","16,580 ",4.5%,2 
LBX,"21,326 ","22,500 ","(1,174)","20,110 ",6.0%,2 
Total,"210,917 ","222,400 ","(11,483)","228,744 ",-7.8%,2 
Carson,"19,825 ","20,900 ","(1,075)","21,132 ",-6.2%,3 
Culver City,"21,715 ","26,600 ","(4,885)","29,533 ",-26.5%,3 
El Segundo,"18,949 ","19,000 ",(51),"20,509 ",-7.6%,3 
Long Beach,"23,722 ","23,900 ",(178),"24,985 ",-5.1%,3 
Westminster,"10,309 ","13,300 ","(2,991)","12,919 ",-20.2%,3 
Five Points,"9,081 ","12,000 ","(2,919)","13,406 ",-32.3%,3 
Fountain Valley,"13,535 ","17,000 ","(3,465)","17,063 ",-20.7%,3 
Costa Mesa,"13,698 ","12,900 ",798 ,"13,875 ",-1.3%,3 
Newport Beach,"20,457 ","19,100 ","1,357 ","18,281 ",11.9%,3 
Manhattan Beach,"17,206 ","19,600 ","(2,394)","20,353 ",-15.5%,3 
Marina Del Rey,"14,807 ","16,000 ","(1,193)","16,580 ",-10.7%,3 
LBX,"19,992 ","22,500 ","(2,508)","20,110 ",-0.6%,3 
Total,"203,295 ","222,800 ","(19,505)","228,744 ",-11.1%,3 
Carson,"24,306 ","20,900 ","3,406 ","20,032 ",21.3%,4 
Culver City,"26,276 ","26,600 ",(324),"25,362 ",3.6%,4 
El Segundo,"17,642 ","18,000 ",(358),"19,538 ",-9.7%,4 
Long Beach,"23,941 ","23,900 ",41 ,"23,938 ",0.0%,4 
Westminster,"12,897 ","13,300 ",(403),"12,350 ",4.4%,4 
Five Points,"9,682 ","10,800 ","(1,118)","11,715 ",-17.4%,4 
Fountain Valley,"13,588 ","14,600 ","(1,012)","16,404 ",-17.2%,4 
Costa Mesa,"10,596 ","11,400 ",(804),"12,714 ",-16.7%,4 
Newport Beach,"19,290 ","19,100 ",190 ,"18,575 ",3.9%,4 
Manhattan Beach,"18,927 ","19,600 ",(673),"19,833 ",-4.6%,4 
Marina Del Rey,"15,053 ","15,100 ",(47),"15,515 ",-3.0%,4 
LBX,"23,131 ","22,500 ",631 ,"21,634 ",6.9%,4 
Total,"215,329 ","215,800 ",(471),"217,608 ",-1.0%,4 
Carson,"20,178 ","20,500 ",(322),"22,196 ",-9.1%,6 
Culver City,"23,814 ","25,000 ","(1,186)","27,107 ",-12.1%,6 
El Segundo,"17,144 ","19,000 ","(1,856)","20,138 ",-14.9%,6 
Long Beach,"23,441 ","24,000 ",(559),"23,998 ",-2.3%,6 
Westminster,"13,216 ","12,500 ",716 ,"12,168 ",8.6%,6 
Five Points,"8,518 ","10,500 ","(1,982)","11,614 ",-26.7%,6 
Fountain Valley,"14,314 ","13,800 ",514 ,"14,939 ",-4.2%,6 
Costa Mesa,"13,980 ","12,000 ","1,980 ","13,441 ",4.0%,6 
Newport Beach,"17,132 ","17,700 ",(568),"18,291 ",-6.3%,6 
Manhattan Beach,"18,441 ","20,000 ","(1,559)","20,217 ",-8.8%,6 
Marina Del Rey,"16,452 ","15,300 ","1,152 ","15,954 ",3.1%,6 
LBX,"20,352 ","22,000 ","(1,648)","22,163 ",-8.2%,6 
Total,"206,983 ","212,300 ","(5,317)","222,224 ",-6.9%,6 
Carson,"24,142 ","21,172 ","2,970 ","22,196 ",8.8%,8 
Culver City,"25,147 ","23,285 ","1,862 ","27,107 ",-7.2%,8 
El Segundo,"17,439 ","17,908 ",(468),"20,138 ",-13.4%,8 
Long Beach,"30,243 ","24,000 ","6,243 ","23,998 ",26.0%,8 
Westminster,"14,468 ","12,500 ","1,968 ","12,168 ",18.9%,8 
Five Points,"10,703 ","9,927 ",776 ,"11,614 ",-7.8%,8 
Fountain Valley,"20,139 ","13,753 ","6,387 ","14,939 ",34.8%,8 
Costa Mesa,"15,647 ","12,413 ","3,233 ","13,441 ",16.4%,8 
Newport Beach,"20,842 ","18,500 ","2,342 ","18,291 ",14.0%,8 
Manhattan Beach,"21,577 ","21,000 ",577 ,"20,217 ",6.7%,8 
Marina Del Rey,"16,319 ","16,000 ",319 ,"15,954 ",2.3%,8 
LBX,"20,271 ","22,000 ","(1,729)","22,163 ",-8.5%,8 
Total,"236,938 ","212,457 ","24,480 ","222,224 ",6.6%,8 
Carson,"28,522 ","22,000 ","6,522 ","22,516 ",26.7%,9 
Culver City,"26,469 ","24,000 ","2,469 ","28,798 ",-8.1%,9 
