Date,DOW,Cal Year,Week,Period,Quarter,Location,Area,This Year Net Sales,Last Year Net Sales,This Year Transactions,Last Year Transactions,Catering Sales
10/31/24,Thursday,2024,44,11,4,El Segundo,SoCal 4,2905.93,3096.72,123,128,625.5
10/31/24,Thursday,2024,44,11,4,Five Points,SoCal 4,1585.74,2007.56,78,112,0
10/31/24,Thursday,2024,44,11,4,Fountain Valley,SoCal 4,2008.67,2693.08,99,125,0
10/27/24,Sunday,2024,43,11,4,Carson,SoCal 4,2878.03,2386.27,103,95,0
10/31/24,Thursday,2024,44,11,4,LBX,SoCal 4,2495.61,2933.18,123,141,299.9
10/31/24,Thursday,2024,44,11,4,Long Beach,SoCal 4,5657.3,3638.67,182,189,1996.8
10/31/24,Thursday,2024,44,11,4,Manhattan Beach,SoCal 4,3029.09,3232.78,122,130,243.95
10/31/24,Thursday,2024,44,11,4,Marina Del Rey,SoCal 4,3402.38,2157.02,119,97,831
10/31/24,Thursday,2024,44,11,4,Newport Beach,SoCal 4,2837.95,2968.38,119,128,372.5
10/27/24,Sunday,2024,43,11,4,Tustin,SoCal 4,2810.83,2854.5,113,110,199
10/27/24,Sunday,2024,43,11,4,Westminster,SoCal 4,1290.05,2236.39,53,83,0
10/28/24,Monday,2024,44,11,4,Carson,SoCal 4,2819.79,2469.42,110,112,480
10/28/24,Monday,2024,44,11,4,Costa Mesa,SoCal 4,1260.44,1535.05,67,81,0
10/28/24,Monday,2024,44,11,4,El Segundo,SoCal 4,2183.64,3773.75,100,151,243.95
10/28/24,Monday,2024,44,11,4,Five Points,SoCal 4,963.76,1385.72,52,86,0
10/28/24,Monday,2024,44,11,4,Fountain Valley,SoCal 4,1881.23,1783.34,74,90,166.5
1/1/24,Monday,2024,1,1,1,Carson,SoCal 4,2573.57,1705.4,108,74,0
1/1/24,Monday,2024,1,1,1,Costa Mesa,SoCal 4,2679.23,1790.11,102,80,0
1/1/24,Monday,2024,1,1,1,El Segundo,SoCal 4,2276.4,1908.98,90,83,0
1/1/24,Monday,2024,1,1,1,Five Points,SoCal 4,1964.53,,84,,0
1/1/24,Monday,2024,1,1,1,Fountain Valley,SoCal 4,2086.75,2798.08,90,120,0
1/1/24,Monday,2024,1,1,1,LBX,SoCal 4,3027.43,,153,,0
1/1/24,Monday,2024,1,1,1,Long Beach,SoCal 4,3309.58,2651.38,127,117,0
11/30/24,Saturday,2024,48,12,4,Carson,SoCal 4,2841.3,2333.41,108,94,0
11/18/24,Monday,2024,47,12,4,Costa Mesa,SoCal 4,2126.42,2490.33,55,87,1073.4
11/18/24,Monday,2024,47,12,4,El Segundo,SoCal 4,2641.97,3411.07,99,119,282
11/18/24,Monday,2024,47,12,4,Five Points,SoCal 4,1237.1,1586.95,69,97,0
11/18/24,Monday,2024,47,12,4,Fountain Valley,SoCal 4,1726.54,2426.86,79,95,0
11/12/24,Tuesday,2024,46,12,4,Carson,SoCal 4,3096.56,2857.04,110,109,448
11/12/24,Tuesday,2024,46,12,4,Costa Mesa,SoCal 4,1612.04,1730.17,70,71,0
11/6/24,Wednesday,2024,45,12,4,Carson,SoCal 4,3066.48,2882.84,109,108,736.9
11/6/24,Wednesday,2024,45,12,4,Costa Mesa,SoCal 4,1739.82,2575.17,80,107,0
11/6/24,Wednesday,2024,45,12,4,El Segundo,SoCal 4,3552.89,3662.02,141,141,199
11/6/24,Wednesday,2024,45,12,4,Five Points,SoCal 4,1899.36,1958.1,73,108,199
11/6/24,Wednesday,2024,45,12,4,Fountain Valley,SoCal 4,1915.57,1941.82,88,101,0
11/6/24,Wednesday,2024,45,12,4,LBX,SoCal 4,3709.32,2742.4,156,150,638.9
